27.0,31.0,33.0,5.0,26.0,37.0,6.0,10.0,25.0,18.0,17.0,21.0,24.0,38.0,15.0,34.0,14.0,20.0,22.0,35.0,36.0,30.0,19.0,12.0,11.0,29.0,28.0,32.0,16.0,23.0,1.0,39.0
4,1,1,3,2,2,2,5,2,1,1,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,1,2,3,4,0,1,1,2,5,2,1,1,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,1,4,2,3,1,1,1,1,0,2,3,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,2,4,1,1,1,2,1,1,3,0,1,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
2,3,5,1,1,3,2,1,4,0,2,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,3,1,1,1,2,2,1,1,0,4,0,2,1,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3,5,1,2,1,2,1,1,2,0,2,4,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,5,2,3,1,1,1,4,2,1,1,0,2,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2,0,5,4,1,2,1,1,0,0,0,3,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1,2,1,1,1,1,5,1,1,2,0,0,3,1,4,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
1,1,4,2,1,5,1,0,1,0,3,0,1,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2,3,2,5,1,0,1,1,2,4,0,1,0,1,3,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
3,1,5,2,3,2,1,2,1,0,1,1,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,4,1,1,1,5,0,1,3,1,3,0,0,1,2,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1,2,3,1,5,1,1,1,1,2,2,0,0,1,3,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,3,2,0,1,1,4,0,1,3,5,1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
